QUEST_LV_0500_00000000_000000	UTF-8-DOM問題迴避用
QUEST_LV_0500_20190419_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？
QUEST_LV_0500_20190419_000002	怪物和魔族氾濫…{nl}至少不用擔心遇到強盜了。{nl}只要能活著回去的話。
QUEST_LV_0500_20190419_000003	花好幾天偵查，又要花好幾天回報！{nl}這樣事情什麼時候才會做完啊？
QUEST_LV_0500_20190419_000004	我是來協助塔達斯的。{nl}不是來收拾波爾凱闖的禍。
QUEST_LV_0500_20190419_000005	我騙過了卡魯塔斯，沒有讓他搶走神樹的種子。{nl}如果解開這束縛，就可以借助種子的力量恢復力量。
QUEST_LV_0500_20190419_000006	卡魯塔斯在這片森林設下結界追趕我的原因是什麼呢…{nl}難道他真的知道這顆種子的存在嗎？
QUEST_LV_0500_20190419_000007	我一調養好身體，就要馬上去找奈凌卡。{nl}奈凌卡一定知道從卡魯塔斯手中拯救梅德依那女神的方法的。
QUEST_LV_0500_20190419_000008	啊，啟示者！這片森林被設下了邪惡的結界，進來的話很危險的！{nl}請快離開吧！
QUEST_LV_0500_20190419_000009	由於卡魯塔斯在這一帶的森林設下了結界，以目前梅迪安娜的力量是無法離開這裡的。{nl}梅迪安娜女神需要快點恢復氣力才行啊…
QUEST_LV_0500_20190419_000010	如果卡魯塔斯發現這裡就完蛋了。{nl}啟示者，請你幫助梅德依那女神恢復過來吧。
QUEST_LV_0500_20190419_000011	雖然陷入了束縛的結界裡…還好依羅娜平安無事。{nl}啟示者，請你找找有沒有解除結界的方法。
QUEST_LV_0500_20190419_000012	快和依羅娜一起去找梅德依那女神吧。
QUEST_LV_0500_20190419_000013	梅德依那女神的蹤跡到這邊就斷了，去別院裡面看看怎麼樣？
QUEST_LV_0500_20190419_000014	梅德依那女神平安無事，真是太好了！{nl}必須破壞對女神設下的魔界移動法陣才行…
QUEST_LV_0500_20190419_000015	啟示者！請清除對梅德依那女神設下的魔界移動法陣。{nl}卡魯塔斯現在不在，是個好機會。
QUEST_LV_0500_20190419_000016	多虧了啟示者才能解開梅德依那女神的結界呢。{nl}現在得趕緊離開這裡…
QUEST_LV_0500_20190419_000017	在輔助魔法陣中注入魔力，讓它超載很有效呢。
QUEST_LV_0500_20190419_000018	啊…都是因為我們，梅德依那女神她…
QUEST_LV_0500_20190419_000019	梅德依那女神…
QUEST_LV_0500_20190419_000020	我來得太晚了…
QUEST_LV_0500_20190419_000021	雖然梅德依那女神被卡魯塔斯抓走了…{nl}啟示者熱心幫助我們尋找梅德依那女神的事，我們會銘記在心的。