INTL_20161124_000001	副本,任務追加進場1次
INTL_20161124_000002	
INTL_20161124_000003	- 特性技能可以同時修練2個{nl} - 市場販賣手續費率減少(30%{img white_right_arrow 16 16}10%){nl} - 市場販賣登錄道具數量5個{nl} - 角色移動速度增加+3{nl} - 任務、副本追加進場1次{nl} - 最大Buff套用數量增加{nl} - 可以使用優惠動作{nl}
INTL_20161124_000004	
INTL_20161124_000005	魔法賦予卷軸10個寶箱
INTL_20161124_000006	使用時，獲得魔法賦予卷軸10個。點擊滑鼠右鍵使用。
INTL_20161124_000007	擴音器10個寶箱
INTL_20161124_000008	使用時可獲得擴音器10個。點擊滑鼠右鍵使用。
INTL_20161124_000009	
INTL_20161124_000010	
INTL_20161124_000011	VIP 30天INTL_20160819_000019