QUEST_LV_0400_20161118_000001	凱都拉商團員艾達
QUEST_LV_0400_20161118_000414	{nl}黑蘭塔在受到詛咒影響前，留下了這樣的紀錄，真是太好了。{nl}讀這個紀錄，就能知道他最後跟團員們分散的地方在哪裡。
QUEST_LV_0400_20161118_000415	{nl}他還寫說，有生物在狩獵因為詛咒而四處分散的人，{nl}他躲開了詛咒，讓我安心了...不過，再這樣下去我也無法倖免...
QUEST_LV_0400_20161118_000416	{nl}這個生物就是外面所謂的毒妖花。{nl}為了我跟團員們的安全，你可以幫忙消滅毒妖花嗎？
QUEST_LV_0400_20161118_000417	謝謝你，{nl}我得從黑蘭塔的紀錄中，找到我的戀人和其他團員的位置。
QUEST_LV_0400_20161118_000418	我的戀人艾德林是基高傭兵團的副團長。{nl}因為擔心他，所以雖然我很懷疑，但還是為了幫他而跟他同行。
QUEST_LV_0400_20161118_000419	{nl}但完全沒想到事情會變成這樣...{nl}只要找到艾德林，我就要離開這裡，去凱都拉商團本部告發阿塔。
QUEST_LV_0400_20161118_000420	{nl}阿塔在不知情中把人給趕進死地之中。{nl}這可不是說不知情，就可以被原諒的事...
QUEST_LV_0400_20161118_000421	我屏住氣息等著你平安回來，{nl}因為怕被怪物們給發現。
QUEST_LV_0400_20161118_000422	找到黑蘭塔留下的紀錄中，他和基高團長最後分手的地方了。{nl}看他們記錄下來的地圖...從這裡再往上走，就是諾潘石柱帶周邊了。
QUEST_LV_0400_20161118_000423	{nl}基高是傭兵團的首領，跟隨他的團員一定很多！{nl}艾德林可能也在之中。
QUEST_LV_0400_20161118_000424	{nl}請找到他們，將他們帶來這裡吧，{nl}拜託你了！
QUEST_LV_0400_20161118_000425	團長基高
QUEST_LV_0400_20161118_000426	你...是誰...{nl}之前沒見過你...
QUEST_LV_0400_20161118_000427	{nl}求求你幫幫我...{nl}我被牠們攻擊了...
QUEST_LV_0400_20161118_000428	還是找不到他嗎？{nl}請盡快在他們被怪物獵捕之前找到他們吧...
QUEST_LV_0400_20161118_000429	{nl}沒有時間了！{nl}
QUEST_LV_0400_20161118_000430	拜託...拜託...求你了...{nl}幫我找出我的解毒劑...
QUEST_LV_0400_20161118_000431	{nl}其他團員...都被捉去潘卡斯石柱帶了...{nl}艾德林...也是一樣...
QUEST_LV_0400_20161118_000432	{nl}別想著那些毫無希望的傢伙...求你救救我...{nl}解毒劑...被附近的怪物給拿走了...
QUEST_LV_0400_20161118_000433	拜託.. 拜託..{nl}也救救這個國家..
QUEST_LV_0400_20161118_000434	你怎麼會自己一個人回來？{nl}艾德林呢...其他團員呢？
QUEST_LV_0400_20161118_000435	{nl}基高團長也像黑蘭塔一樣消失了啊...{nl}不過我們可以知道艾德林人在潘卡斯石柱帶了。
QUEST_LV_0400_20161118_000436	艾德林...{nl}那麼信任而追隨的團長，陷入危險之中，竟然只顧自己的性命...
QUEST_LV_0400_20161118_000437	你怎麼會自己一個人回來...為什麼！{nl}這是我送給艾德林的項鍊...
QUEST_LV_0400_20161118_000438	{nl}啊..{nl}很抱歉..
QUEST_LV_0400_20161118_000439	{nl}你冒著生命危險幫我找艾德林的行蹤...{nl}結果我還把你當出氣筒...
QUEST_LV_0400_20161118_000440	不能光是待在這裡等著回不來的人。{nl}阿塔...必須受到懲罰。
QUEST_LV_0400_20161118_000441	{nl}你別攔我！{nl}就算你攔我我也要去！
QUEST_LV_0400_20161118_000442	怎麼會變成這樣..{nl}為何..
QUEST_LV_0400_20161118_000443	{nl}要是聖水祭司本部知道這件事的話，我就完蛋了！{nl}雖然對不起團員，但我必須採取行動...
QUEST_LV_0400_20161118_000444	{nl}喂，這裡可不能再發生這種事了。{nl}你聽我說嘛！
QUEST_LV_0400_20161118_000445	照你跟賽貝卡所說，一定還有誰又留下紀錄了。{nl}我們找出那個東西會比較好...
QUEST_LV_0400_20161118_000446	{nl}雖然可能會讓你遭遇危險，但為了阻止其他犧牲者出現，我們必須找出真相！{nl}你可以去找出來嗎？
QUEST_LV_0400_20161118_000447	我在想，也許這裡不是傳說中的阿爾蘭必...{nl}這麼一來，我又成了什麼了...
QUEST_LV_0400_20161118_000448	這是...相當有用。{nl}搞不好可以掩蓋這所有的錯誤...
QUEST_LV_0400_20161118_000449	{nl}在阿爾蘭必傳說中添加這個故事，那就大致說得通了。{nl}不是嗎？
QUEST_LV_0400_20161118_000450	就算凱都拉商團是尋找「女神的安排」的集團...{nl}但其本質還是商人，他們對這裡找到的東西，一定會感興趣的...
QUEST_LV_0400_20161118_000451	{nl}而且這裡是沒人來過的地方，從怪物身上拿到的東西，也需要再多做研究...{nl}所以，你能不能幫忙消滅怪物，從牠們身上拿點什麼給我？
QUEST_LV_0400_20161118_000452	你也覺得我很世俗或是什麼機會主義者嗎？{nl}如果讓你這麼想，我也無法辯解...
QUEST_LV_0400_20161118_000453	{nl}請想成這一切都是為了防止更多犧牲者產生而做的...
QUEST_LV_0400_20161118_000454	這些鐘乳石快好像蘊含著什麼魔法，{nl}對商團研究者來說是很好的標本。
QUEST_LV_0400_20161118_000455	{nl}一定可以成為防止其他犧牲者出現的珍貴資料！
QUEST_LV_0400_20161118_000456	聽了你跟賽貝卡說的話後，我想到一件事...
QUEST_LV_0400_20161118_000457	{nl}我曾經想過，這洞穴裡好像有什麼在釋出這詭譎的氣氛，{nl}找出那個東西並破壞它，說不定倖存的團員們就能恢復神智，自己找到出口出來了？
QUEST_LV_0400_20161118_000458	{nl}看來這件事，就只有你能做得到了。{nl}你看起來絲毫不會受詛咒影響。
QUEST_LV_0400_20161118_000459	我也很想幫忙...{nl}但你也有看到黑蘭塔和基高的樣子吧？
QUEST_LV_0400_20161118_000460	{nl}我要是進到裡面，說不定會以為你是怪物而攻擊你...{nl}雖然我攻擊你，也不會是你的對手啦...
QUEST_LV_0400_20161118_000461	雖然只有一點點，但那令人不舒服的氣息好像消失了...{nl}你覺得呢？
QUEST_LV_0400_20161118_000462	黑蘭塔！黑蘭塔還活著嗎？{nl}他的狀態沒有異常之處嗎？
QUEST_LV_0400_20161118_000463	{nl}這個洞穴被詛咒了。{nl}如果沒有像我一樣受到神聖之力保護的話，是會發瘋的。
QUEST_LV_0400_20161118_000464	{nl}我是不知道為什麼你能這麼正常...{nl}要說誰是同夥，除了怪物之外，也沒有其他會傷害我們的東西了。
QUEST_LV_0400_20161118_000465	{nl}說明有點太長了。
QUEST_LV_0400_20161118_000466	{nl}這是人命關天的事。{nl}你好像不會受詛咒影響，請找到黑蘭塔把他帶來這裡吧！
QUEST_LV_0400_20161118_000467	席貝卡？{nl}為什麼？
QUEST_LV_0400_20161118_000468	{nl}不管怎樣，雖然她還沒來...{nl}但幸好你還活著。
QUEST_LV_0400_20161118_000469	我絕不是要你滿足我的欲望...
QUEST_LV_0400_20161118_000470	別管..我..
QUEST_LV_0400_20161118_000471	傳說中的洞窟 : 改版 1卷
QUEST_LV_0400_20161118_000472	在王國歷史開始被記載的{nl}許久之前，這塊土地上就流傳著{nl}一些關於神秘又驚奇的{nl}故事。{nl}這本書記載著{nl}在那些故事之中，{nl}最為人知曉的三個傳說{nl}故事。
QUEST_LV_0400_20161118_000473	在無數的傳說之中，{nl}選定往後要記錄場所{nl}的原因，是因為{nl}{nl} 民眾對寶物與黃金等財富{nl}的關心，相當濃厚，{nl}甚至成為女神信仰{nl}的基石。{nl}{nl} 現在在三個故事之中，{nl}我就來為你簡單介紹{nl}阿爾蘭必傳說吧。
QUEST_LV_0400_20161118_000474	第1章 阿爾蘭必傳說{nl}-{nl}在王國南部的奇雷恩這個地方，{nl}流傳著關於阿爾蘭必洞穴{nl}的故事。{nl} {nl}曾經有個厲害的鍊金術師，{nl}投入自己的全部力量，{nl}製作出金銀財寶和有價值的遺物，{nl}為了炫耀這些，{nl}他偶爾會到外頭去，{nl}邀請人回家。
QUEST_LV_0400_20161118_000475	
QUEST_LV_0400_20161118_000476	傳說中的洞窟 : 改版 2卷
QUEST_LV_0400_20161118_000477	在無數的傳說之中{nl}，{nl}選定往後要記錄場所{nl}的原因，是因為{nl}{nl} 民眾對寶物與黃金等財富{nl}的關心，相當濃厚，{nl}甚至成為女神信仰{nl}的基石。{nl}{nl} 現在在三個故事之中，{nl}我就來為你簡單介紹{nl}阿爾蘭必傳說吧。
QUEST_LV_0400_20161118_000478	第2章：被隱藏的王陵傳說{nl}-{nl}大森林地帶自古以來因為蓊鬱的{nl}山林而成為貴族們平時的{nl}狩獵場，也在發生緊急狀況時{nl}變為貴族和一般百姓的避難所{nl}。因此{nl}人們都有{nl}在這裡經歷過一些事{nl}是很理所當然的。但奇怪的是，卻沒有任何跟王室相關的{nl}故事，原因在於這裡有著{nl}坦尼爾2世時期在這裡建造了{nl}秘密王陵後，也把為數眾多的{nl}陪葬品一起埋進去的{nl}謠聞。
QUEST_LV_0400_20161118_000479	王室之間因為先王的{nl}秘密陵墓佇列於此，反而對這個地方{nl}裝作漠不關心的樣子。
QUEST_LV_0400_20161118_000480	其實，{nl}坦尼爾2世的正式葬禮紀錄{nl}和歷代先王不太一樣，與真實不符的謠言{nl}讓其失去可信度。因為{nl}歷代先王們不管是火葬或是{nl}土葬都會留下明確的紀錄。{nl}不過就算這些傳聞都是真的{nl}，這個墳墓似乎不會有與世人見面的{nl}那一天了。
QUEST_LV_0400_20161118_000481	
QUEST_LV_0400_20161118_000482	傳說中的洞窟 : 改版 3卷
QUEST_LV_0400_20161118_000483	在無數的傳說之中，{nl}選定往後要記錄場所{nl}的原因，是因為{nl}{nl} 民眾對寶物與黃金等財富{nl}的關心，相當濃厚，{nl}甚至成為女神信仰{nl}的基石。{nl}{nl} 現在在三個故事之中，{nl}我就來為你簡單介紹{nl}巴羅昆士黃金礦脈的傳說吧。
QUEST_LV_0400_20161118_000484	第3章：巴羅昆士黃金礦脈{nl}-{nl}聽說王國外某座隱密的山中有傳說中的{nl}黃金礦脈。{nl}根據傳說，先發現礦脈的{nl}竟然不是人類{nl}而是魔族，是有位勇士把魔族{nl}擊潰之後，把礦脈搶過來的。
QUEST_LV_0400_20161118_000485	那位勇士只是怕魔族把黃金拿去{nl}對人類做壞事{nl}才把礦脈搶走的，作為不貪圖財富{nl}、富有榮譽心的勇士把礦脈的{nl}正確位置當作祕密，也說絕對不會{nl}把礦脈裡的{nl}黃金做為己用。
QUEST_LV_0400_20161118_000486	歲月流逝，勇士也逐漸年老{nl}壽命走到盡頭，也沒留下任何後代{nl}傳說中的金礦{nl}也變成沒有主人的狀態，如果有人{nl}發現的話就可以{nl}成為最富有的人了。
QUEST_LV_0400_20161118_000487	不過這個傳說{nl}有個疑點。{nl}不管是在王國的歷史中或是其他任何的{nl}紀錄裡，都沒有找到任何從魔族手中搶過礦山，名為{nl}巴羅昆士{nl}的英雄。
QUEST_LV_0400_20161118_000488	因此也有很多人認為{nl}巴羅昆士根本是不存在的人{nl}所以巴羅昆士的黃金礦脈{nl}也不過是個傳說罷了。{nl}傳說裡對於礦山的名字{nl}為什麼叫巴羅昆士{nl}也沒有特別說明。{nl}即使這樣，還是有人{nl}深深相信這個傳說，{nl}也從未停止探索。
QUEST_LV_0400_20161118_000489	皮蘭敏 布蘭登
QUEST_LV_0400_20161118_000490	大家在此停留的時候聽到了一個忠告。{nl}這座森林很危險...!
QUEST_LV_0400_20161118_000491	真是無法理解獵人為什麼想獨佔這個地方。
QUEST_LV_0400_20161118_000492	那個，幫我一個忙。
QUEST_LV_0400_20161118_000493	{nl}好不容易從陷阱中逃脫，但腿實在是痛到無法再前進了。{nl}請旅行者幫幫我吧。
QUEST_LV_0400_20161118_000494	旁邊的圖拉斯空地有白尾草聽說可以消除疼痛。{nl}吃了那個就可以繼續走下去了...
QUEST_LV_0400_20161118_000495	從這邊走上去一點點的話，就會有白尾草了。{nl}就拜託你了。
QUEST_LV_0400_20161118_000496	真的是非常謝謝。{nl}現在總算可以離開這裡了。
QUEST_LV_0400_20161118_000497	{nl}聽說這有想把土地占為己有的凶殘的獵人。{nl}在掉進陷阱前，我還不太相信呢。
QUEST_LV_0400_20161118_000498	{nl}我還聽說他會用被馴服的怪獸來趕走外部人員呢...{nl}旅行者您也快避開這裡，別再往前走了。
QUEST_LV_0400_20161118_000499	還以為只是愛管閒事的冒險家，看來不是一般的小賭注啊。
QUEST_LV_0400_20161118_000500	比爾黑爾馬斯
QUEST_LV_0400_20161118_000501	正式介紹一下吧。{nl}我叫比爾黑爾馬斯。
QUEST_LV_0400_20161118_000502	{nl}本來是星之...啊，以前的事不重要，就跳過這段吧。
QUEST_LV_0400_20161118_000503	{nl}不久前才發現了愛梅特森林{nl}覺得這裡很適合難民們居住，正在處理這些難纏的怪獸。
QUEST_LV_0400_20161118_000504	{nl}而且這地方有怪獸棲息..
QUEST_LV_0400_20161118_000505	{nl}這樣看來，把一些有關我的內容刪掉的話，傳聞倒也有些真實性呢。{nl}我現在想做些能消滅怪物的事。
QUEST_LV_0400_20161118_000506	很感激你想幫忙的心意...得先確認一下你的實力。{nl}可不能有任何無意義的犧牲不是嗎。
QUEST_LV_0400_20161118_000507	竟然說我馴服怪獸來驅趕人類...{nl}真是太令我失望了。
QUEST_LV_0400_20161118_000508	沒想到你就是聲名顯赫的啟示者啊...{nl}不，說不定，你會來到這裡就是女神的安排呢。
QUEST_LV_0400_20161118_000509	以為你只是實力不凡而已，沒想到你就是啟示者。
QUEST_LV_0400_20161118_000510	如同我剛剛所說的，這裡非常適合人類居住。{nl}可以讓從廢都避難而來的人們安居落戶的好地方啊。
QUEST_LV_0400_20161118_000511	{nl}為了讓難民們可以在這裡生活，得先把這裡的庫凱利處理掉才行。{nl}但在那之前還有隻怪獸要先處置一下。
QUEST_LV_0400_20161118_000512	{nl}因為詛咒的關係很難追蹤到那些傢伙。{nl}如果你能幫幫我就好了...
QUEST_LV_0400_20161118_000513	{nl}但牠們可不是普通的傢伙，可不希望因為實力不夠而發生一些不必要的犧牲。{nl}我可以測試一下你的實力嗎？
QUEST_LV_0400_20161118_000514	我才剛開始對付這裡的庫凱利們。{nl}有個魔族突然闖進愛梅特森林了。
QUEST_LV_0400_20161118_000515	{nl}好像是為了找什麼東西跑進來的，別管牠目的是什麼。{nl}只要專心處置這個魔族就好。
QUEST_LV_0400_20161118_000516	{nl}要對抗這傢伙不難{nl}但現在有個問題。
QUEST_LV_0400_20161118_000517	{nl}這傢伙因為陷入了困境，對我下了詛咒。{nl}這詛咒讓我的視野逐漸縮小了。
QUEST_LV_0400_20161118_000518	{nl}總之，我拿出懷裡的紅色寶石往牠的身體刺下去了。{nl}那傢伙的身體漸漸產生變化了。
QUEST_LV_0400_20161118_000519	{nl}聽到這裡大概就能猜到，那個魔族就是傳說的怪獸。{nl}憑我的感覺，這個從怪獸變化而成的傢伙絕對不是那麼好對付的。
QUEST_LV_0400_20161118_000520	{nl}那傢伙似乎對我也有些恐懼，牠也馬上逃跑了。{nl}我和那傢伙之間一場冗長又無趣的鬥爭就此開始了。
QUEST_LV_0400_20161118_000521	{nl}對於被下詛咒的我來說，要追蹤那傢伙可不是一件簡單的事。{nl}身為獵人，視野受到限制，可是一個致命性的缺點啊。
QUEST_LV_0400_20161118_000522	{nl}擔心會有人因怪獸而遇害，在各個地方貼上了警告，還是會有難民一直進來。{nl}不過現在有你的幫助，是時候和那傢伙分出勝負了。
QUEST_LV_0400_20161118_000523	{nl}拜託借我你的力量。
QUEST_LV_0400_20161118_000524	很好。{nl}那麼試試消滅這森林的庫凱利們吧。{nl}如果你可以抓住這些傢伙的話，搞不好能跟我一起對抗那隻怪獸。
QUEST_LV_0400_20161118_000525	把這裡的庫凱利都消滅之後，我就來好好確認一下你的實力。
QUEST_LV_0400_20161118_000526	嗯...果然是身手非凡啊。{nl}跟你一起的話，就可以消滅那傢伙了。
QUEST_LV_0400_20161118_000527	{nl}但不管怎麼看都好像不是普通的賭注呢...{nl}你不是一般的旅行者吧？{nl}你到底是什麼人？
QUEST_LV_0400_20161118_000528	你就是那...！{nl}難怪你擁有這般的實力。
QUEST_LV_0400_20161118_000529	{nl}那麼，啟示者，您得用您的力量好好幫助我了。
QUEST_LV_0400_20161118_000530	既然有了幫手，那就可以試試那個方法了。{nl}說不定可以給那傢伙致命的一擊。
QUEST_LV_0400_20161118_000531	{nl}在那傢伙常走的要道上設置一下麻痺陷阱綁住牠的腳，我再用毒箭來射準牠。{nl}不過得先蒐集製作毒藥的材料，我一個人的話有些困難呢。
QUEST_LV_0400_20161118_000532	{nl}毒藥裡的第一個材料得從庫凱利們那蒐集過來。{nl}不過依我現在的視力，得非常接近庫凱利才可以進行辨別，如果我太靠近牠們的話，牠們會逃跑的。
QUEST_LV_0400_20161118_000533	{nl}所以你能幫忙找來一些毒嗎？
QUEST_LV_0400_20161118_000534	謝謝你。{nl}毒在庫凱利托特身上呢。
QUEST_LV_0400_20161118_000535	{nl}這些傢伙還太小才會把毒放在身體裡保護著，如果只是一般水準的毒，可能會不夠。{nl}得噴灑一些刺激劑才能增強牠們身體裡的毒氣。
QUEST_LV_0400_20161118_000536	{nl}你來處理被刺激劑擊中的庫凱利托特，我來把那些受到刺激的毒蒐集到袋子裡給你。
QUEST_LV_0400_20161118_000537	接近庫凱利托特並灑上刺激劑後消滅牠們吧。{nl}然後把牠們身體裡受到刺激的毒收進到袋子裡給我吧。
QUEST_LV_0400_20161118_000538	辛苦你了。{nl}跟我一起前往蒐集下一個材料吧。
QUEST_LV_0400_20161118_000539	接下來需要的材料是黃色烏頭花。
QUEST_LV_0400_20161118_000540	{nl}這可不是隨便用任何花都可以的。{nl}適不適合和毒藥一起調配可是只有專家才能看得出來的。
QUEST_LV_0400_20161118_000541	{nl}這件事不太好讓你去做，辨別花朵和蒐集的事就讓我來吧。{nl}你就指引無法看到遠方的我到有花的地方吧。
QUEST_LV_0400_20161118_000542	就拜託你了。頭盔花生長在沙爾瑪斯瀑布周圍。{nl}我們馬上出發吧。
QUEST_LV_0400_20161118_000543	辛苦你了。{nl}我現在要開始調配毒藥了...
QUEST_LV_0400_20161118_000544	現在毒藥的材料已經齊全了。{nl}不過...{nl}麻痺陷阱的材料都用完了呢。
QUEST_LV_0400_20161118_000545	{nl}庫凱利蘇米們會帶著用在小動物身上的微量麻痺藥。{nl}蒐集大量的麻痺藥後熬煮的話，就會變成很棒的麻痺藥了。
QUEST_LV_0400_20161118_000546	{nl}你可以幫我蒐集牠們身上帶著的麻痺藥嗎？
QUEST_LV_0400_20161118_000547	謝謝了。{nl}這段時間我就來準備其他東西。
QUEST_LV_0400_20161118_000548	把庫凱利蘇米消滅後，蒐集牠們帶著的麻痺藥。
QUEST_LV_0400_20161118_000549	比預期的還花時間呢。{nl}現在來完成這個陷阱吧。
QUEST_LV_0400_20161118_000550	完成了。{nl}現在把陷阱設置好就可以了。
QUEST_LV_0400_20161118_000551	在你蒐集麻痺藥的時候，我已經把毒藥調配好還調查了一下那傢伙呢。{nl}那傢伙四處留下了紅色的痕跡呢。你可能沒發現到那些細微的痕跡。
QUEST_LV_0400_20161118_000552	{nl}應該是在變身成怪獸的過程中，被紅色寶石刺進身體裡的關係。{nl}總之，循著紅色痕跡就發現了那傢伙經常往返的小道了。
QUEST_LV_0400_20161118_000553	{nl}在從特雷達拉伊溪邊前往沙爾瑪斯瀑布的路上設下麻痺陷阱就可以了。{nl}我就埋伏在菲秀奧貝奈瀑布那邊，把塗上毒藥的箭對準掉進陷阱裡的那傢伙。
QUEST_LV_0400_20161118_000554	{nl}絕對可以給那傢伙致命的一擊。{nl}你就到我剛剛說的地方設置好陷阱吧。
QUEST_LV_0400_20161118_000555	要準確地設置好陷阱喔。{nl}如果不是我剛剛說的那個位置上的話，就無法正確瞄準到那傢伙了。
QUEST_LV_0400_20161118_000556	在那傢伙經過那裏之前，趕快把陷阱給設置好吧。
QUEST_LV_0400_20161118_000557	得先在這休息一下了...{nl}那傢伙逃往的巴伊凱丘陵是個無路可逃的地方。 
QUEST_LV_0400_20161118_000558	{nl}你就繼續追下去並把那傢伙消滅掉吧。{nl}牠已經中了毒箭，你一定可以做到的。
QUEST_LV_0400_20161118_000559	別擔心我，快去追上那傢伙！{nl}在那傢伙恢復力氣以前...！
QUEST_LV_0400_20161118_000560	牠逃往阻塞的地方了。{nl}現在是消滅那傢伙大好的機會啊！
QUEST_LV_0400_20161118_000561	이제 괴수를 잡기 위해 곳곳에 설치된 함정들을 수거해야겠군.{nl}자네처럼 멋모르고 걸려들 사람들이 있어선 안되니까 말일세.
QUEST_LV_0400_20161118_000562	希望你後面的旅程能得到女神的呵護...{nl}我會替你祈禱早日達成你的使命。
QUEST_LV_0400_20161118_000563	就算我有傷在身，還是能對付庫凱利這種等級的{nl}你趕快追上那傢伙結束這一切吧。
QUEST_LV_0400_20161118_000564	好..{nl}又臭又長的戰爭終於結束了。
QUEST_LV_0400_20161118_000565	{nl}如果不是你，不知何時才能結束這一切。{nl}我的視野好像也因為那傢伙的死亡而漸漸恢復了呢。
QUEST_LV_0400_20161118_000566	{nl}我欠了一個大人情了呢。{nl}如果可以的話，希望你能跟我一起整頓這個地方...
QUEST_LV_0400_20161118_000567	{nl}但你還有身為啟示者的使命。{nl}不知道該怎麼感謝你一路幫助我到這裡呢。
QUEST_LV_0400_20161118_000568	{nl}一路上小心了。{nl}希望你後面的旅程能得到女神的呵護。
QUEST_LV_0400_20161118_000569	再更往深處前進的話，就無法保障你的生命安全了。{nl}現在還有機會，我勸你還是趕快回頭吧。
QUEST_LV_0400_20161118_000570	希望你小心那些殘暴的庫凱利族以及尚未回收的陷阱。
QUEST_LV_0400_20161118_000571	難民 蜜莉亞
QUEST_LV_0400_20161118_000572	我聽說這裡還勉強可以撐下去才來的，看來我來錯地方了呢。{nl}這裡也充滿了怪物...想向那些人請求援助，但他們正忙著互相爭吵...
QUEST_LV_0400_20161118_000573	這個世界被顛覆都已經４年了，不敢相信至今還有人在爭吵領地。
QUEST_LV_0400_20161118_000574	不過幸好兩位領主還願意對話。{nl}希望能決定出我們依靠誰會比較好就好了。
QUEST_LV_0400_20161118_000575	希望協商過程順利...{nl}看兩位平時相處的樣子，感覺會進行得不太順利，有點擔心呢。
QUEST_LV_0400_20161118_000576	雖然不是隨便一位就能決定的事，但希望他們能停止爭吵並積極幫助我們的話就好了。
QUEST_LV_0400_20161118_000577	旅行者，謝謝您。{nl}這都是託了旅行者您的福啊。
QUEST_LV_0400_20161118_000578	原來是旅行者啊...{nl}請幫幫我們吧...
QUEST_LV_0400_20161118_000579	{nl}我們為了避難帶來這裡的食物早已經吃完很久了...{nl}雖然試過向統治這個地方的兩位領主請求幫助，但兩位只顧著互相吵架呢。
QUEST_LV_0400_20161118_000580	{nl}旅行者您似乎能對抗那些怪獸們，想請您幫幫我們啊...{nl}您可以幫我們狩獵附近黃色的葉豆精然後蒐集果實給我們嗎？
QUEST_LV_0400_20161118_000581	真是謝謝您。{nl}這附近能吃的東西似乎就只剩下葉豆精的尾巴了。
QUEST_LV_0400_20161118_000582	請獵殺附近的黃色葉豆精然後把果實帶來給我們吧。 
QUEST_LV_0400_20161118_000583	真的很謝謝您。{nl}這些足夠支撐一陣子了...誰成為這地方的主人都可以，只希望趕快有個結果出來就好...
QUEST_LV_0400_20161118_000584	難民 格雷格
QUEST_LV_0400_20161118_000585	真是的...為了尋求幫助而來到這裡，沒想到這裡連守護好自己都有困難...{nl}所以才說這裡和其他地方也沒什麼差別...
QUEST_LV_0400_20161118_000586	竟然還有人為了土地爭吵不已...{nl}難道不能拿這些貴族沒辦法嗎？
QUEST_LV_0400_20161118_000587	好歹名義上還是個領主。{nl}被怪物教訓過一次之後，總算打起精神來了。
QUEST_LV_0400_20161118_000588	聽說是旅行者您介中調停了兩位領主的紛爭？{nl}真是不知道該怎麼感謝您才好呢。
QUEST_LV_0400_20161118_000589	旅行者您可能不太知道，難民們一天內要被怪物們攻擊好幾次。{nl}附近有再多士兵也沒什麼用。{nl}光是保護自己主人就夠忙的了。
QUEST_LV_0400_20161118_000590	{nl}更何況他們的主人也不管這地方難民們的死活。{nl}光是為了土地就吵得不可開交了。
QUEST_LV_0400_20161118_000591	{nl}所以只好自行尋找能保護自己的方法。{nl}雖然有點抱歉，您能幫我蒐集附近還算堅固的樹枝給我嗎？
QUEST_LV_0400_20161118_000592	{nl}好好處理一下的話，我想當武器帶在身邊。{nl}我得在這裡好好處理一下我所蒐集來的木枝。
QUEST_LV_0400_20161118_000593	真的很感謝您願意幫助我。{nl}這附近的樹枝都已經被蒐集得差不多了，請您到古爾利吉亞交叉路幫我找找吧。 
QUEST_LV_0400_20161118_000594	{nl}樹枝附近通常都有怪物，請多小心。
QUEST_LV_0400_20161118_000595	蒐集樹枝的時候，請小心附近會有怪物。
QUEST_LV_0400_20161118_000596	謝謝。{nl}看起來都非常的堅固呢。
QUEST_LV_0400_20161118_000597	{nl}不過終究還是木頭...用這個是撐不了多久的。{nl}領主們之間的爭吵得快點結束才行...
QUEST_LV_0400_20161118_000598	{nl}也是，就算結束了，那些在高位的人會不會願意照顧我們也只有女神才知道了。
QUEST_LV_0400_20161118_000599	我看到你幫忙格雷格了。
QUEST_LV_0400_20161118_000600	{nl}這樣如此爽快地幫助我們，對抗怪物時也如此熟練...{nl}看來您可不是簡單的人物呢。
QUEST_LV_0400_20161118_000601	{nl}我們...如果兩位領主之間的爭吵再不結束的話，我們也好離開這裡了。{nl}但因為那個禁止進入愛梅特森林的警告，還有那個奇怪的傳聞，害怕地不敢走呢。 
QUEST_LV_0400_20161118_000602	{nl}最後變得無處可去了。{nl}所以能拜託您幫幫忙調停一下兩位領主之間的紛爭嗎？
