QUEST_UNUSED_20150317_000001	啊哈，這條路是前往拜訪寬恕者大師的路啊！祝你好武運。
QUEST_UNUSED_20150317_000002	路上小心。
QUEST_UNUSED_20150317_000003	對。就是這個。已經被允許進到寬恕者門下了。{nl}向捐款箱投放的一牧銀幣所得到的免罪符能夠引導我們贖罪。{nl}請謹記財物還有女神巨大的祝福。
QUEST_UNUSED_20150317_000004	快回去寬恕者大師那裏。{nl}他找火甕找了很久。
QUEST_UNUSED_20150317_000005	守門者貓頭鷹雕像
QUEST_UNUSED_20150317_000006	泰斯拉把木頭雕刻成我們的樣子。{nl}所以我們一直都想好好報答他的恩惠。{nl}
QUEST_UNUSED_20150317_000007	所以我說。我有事相求。{nl}能不能幫我收集大教堂的大理石雕像然後轉交給泰斯拉呢？
QUEST_UNUSED_20150317_000008	泰斯拉應該很喜歡大教堂的大理石吧？
QUEST_UNUSED_20150317_000009	貓頭鷹雕像的禮物嗎？{nl}那些可愛傢伙就是我生活的證據吧。{nl}
QUEST_UNUSED_20150317_000010	總之…難怪好像有客人來的樣子，謝謝啊。
QUEST_UNUSED_20150317_000011	我第一次在柯拉佩達見到你的時候，我就在想你真的能用那纖細的手臂揮動劍嗎？{nl}不過現在都成為了人人歌頌的勇士了。{nl}
QUEST_UNUSED_20150317_000012	但我還是想確認看看你的勇氣。{nl}報喪女妖讓邪惡氣息瀰漫著整個黑暗森林…對你來說應該是個剛剛好的挑戰吧！
QUEST_UNUSED_20150317_000013	不怎麼樣嘛！只不過是狩獵而已。{nl}他應該會在柯拉佩達等你喔！
QUEST_UNUSED_20150317_000014	來了啊！我一直在等你呢！{nl}這是符合你勇氣的獎勵。
QUEST_UNUSED_20150317_000015	呼呼，真是認真啊！{nl}我突然想起你還是實習法師的時候。那時候你真的很認真呢…{nl}
QUEST_UNUSED_20150317_000016	我很好奇你現在究竟進不了多少。{nl}汙染這黑暗森林的報喪女妖對你來說應該是個適當的挑戰吧？
QUEST_UNUSED_20150317_000017	我覺得比起考試這是做好事。{nl}那麼下次在柯拉佩達見囉！
QUEST_UNUSED_20150317_000018	不錯，消滅的很乾脆。{nl}下次見面的時候我是否會更好奇你變成甚麼樣了呢？
QUEST_UNUSED_20150317_000019	第一次見到你的時候心想真是個半調子該不會馬上就被擊倒吧…{nl}現在竟然比我還有名。{nl}
QUEST_UNUSED_20150317_000020	我想看看你是不是真的實力如其名，跟我打個賭吧！？{nl}把汙染這森林的報喪女妖全都消滅吧怎麼樣？
QUEST_UNUSED_20150317_000021	其時打賭才沒那麼重要呢。重點是和我見面。{nl}那麼我就在柯拉佩達等你。
QUEST_UNUSED_20150317_000022	來了啊！你真令人讚賞啊！{nl}我能期待你下次進步多少嗎？
QUEST_UNUSED_20150317_000023	比起第一次來到柯拉佩達的時候，又充滿更多女神的祝福了。{nl}我想知道你信仰的心有多虔誠。{nl}
QUEST_UNUSED_20150317_000024	當然這不是能以抽象標準來衡量的。{nl}我就是以女神之名將帶給這森林邪惡的氣息的報喪女妖們給驅趕走的。
QUEST_UNUSED_20150317_000025	女神的敵人就是我們的敵人。{nl}那麼我們柯拉佩達見。
QUEST_UNUSED_20150317_000026	您來了啊！你的信仰之心很虔誠。{nl}給了我很多靈感。{nl}這是我的一點心意。請用在正確的地方。
QUEST_UNUSED_20150317_000027	以前很清幽的這個地方現在因為怪物出沒而不得安寧。
QUEST_UNUSED_20150317_000028	不管那個怪物的話牠會攻擊聚集而來的靈魂並且將之汙染。
QUEST_UNUSED_20150317_000029	不管怎麼說那些傢伙數量總算有減少，我心情是有好一點。
QUEST_UNUSED_20150317_000030	許多人們把家人的骨灰盒埋在這個地方。{nl}現在都被怪物們給挖開，就將骨灰盆改成安置在地面上了。
QUEST_UNUSED_20150317_000031	有一陣子常常能聽到先人們悲傷的啜泣聲… 一段令人懷念的時光。
QUEST_UNUSED_20150317_000032	還是有很多無法回收的遺物，但幸好還是守住一部分的遺物。
QUEST_UNUSED_20150317_000033	其他貓頭鷹雕像必須引導的靈魂們正往這裡來。{nl}關口附近一定是出事了。
QUEST_UNUSED_20150317_000034	不知道發生甚麼事，總覺得我們好像被騙了。
QUEST_UNUSED_20150317_000035	不愧是魔族啊！{nl}正干擾著這裡的清靜。
QUEST_UNUSED_20150317_000036	說不定那些奔向北方的靈魂們知道有關那傢伙的情報。
QUEST_UNUSED_20150317_000037	迷路的靈魂
QUEST_UNUSED_20150317_000038	您還活著啊…{nl}但你現在的處境也不安全。
QUEST_UNUSED_20150317_000039	我不知道魔族在低吟甚麼…但那關口的門一定得打開才行。
QUEST_UNUSED_20150317_000040	大家都向更深處去尋找貓頭雕像了。{nl}能否幫我們逃出這裡呢？
QUEST_UNUSED_20150317_000041	怪物為了吸收靈魂而追上來了。{nl}被牠們逮到的話會被邪惡力量感染。
QUEST_UNUSED_20150317_000042	太感謝了！{nl}可以找機會逃跑啊…
QUEST_UNUSED_20150317_000043	依依不捨的靈魂
QUEST_UNUSED_20150317_000044	我都知道。{nl}先行前往北邊的靈魂們沒辦法到達目的地的。{nl}不過可利用其他貓頭鷹雕像幫助指引方向。{nl}但我因為丘陵上方的吉伯優南瓜精沒辦法去…
QUEST_UNUSED_20150317_000045	怪物們為什麼要追著我們跑啊…{nl}好累喔…死也不要…
QUEST_UNUSED_20150317_000046	你說的都是事實嗎？{nl}真叫人生氣…
QUEST_UNUSED_20150317_000047	沒別的辦法了。{nl}我先告訴你那靈魂的去向吧。{nl}往北邊前進有個貓頭鷹雕像。先到那裏去看看吧。
QUEST_UNUSED_20150317_000048	等牠們湧進之前想趕快離開…
QUEST_UNUSED_20150317_000049	神聖的貓頭鷹雕像
QUEST_UNUSED_20150317_000050	不久前才被變異的死亡魔特斯攻擊。{nl}再這樣下去我的木製身軀會被粉身碎骨的！
QUEST_UNUSED_20150317_000051	我不想再讓您拜託我保管的骨灰盆或靈魂迷失方向…
QUEST_UNUSED_20150317_000052	體型雖小卻是很心狠手辣的一群傢伙。
QUEST_UNUSED_20150317_000053	雖然感到悲傷，我們雕像現在無法執行雕刻家給予的任務。{nl}只能在一旁保護他…{nl}
QUEST_UNUSED_20150317_000054	你該負責的靈魂太多了。
QUEST_UNUSED_20150317_000055	真是優秀啊！
QUEST_UNUSED_20150317_000056	請往南邊走吧！{nl}可以找到像我一樣的破碎雕像的。
QUEST_UNUSED_20150317_000057	憂鬱的貓頭鷹雕像
QUEST_UNUSED_20150317_000058	看到活著的人過來真的很神奇！{nl}每天都守著靈魂們很久沒看到活人了。
QUEST_UNUSED_20150317_000059	託您的福我才能撐過這些年。
QUEST_UNUSED_20150317_000060	您目睹的怪物就是把我們逼到絕境的幽靈范托群。{nl}為了阻止怪物橫行，必須清除空空的貓頭鷹。{nl}幽靈范托群正利用陷阱。{nl}必須至溪谷深處確認空空的貓頭鷹雕像。
QUEST_UNUSED_20150317_000061	靈魂前往尋找貓頭鷹。{nl}但被空空的貓頭鷹給吃掉了。{nl}這傢伙很清楚靈魂在來找我們的路上會迷路。
QUEST_UNUSED_20150317_000062	我以為這些雕像都會被利用…
QUEST_UNUSED_20150317_000063	你見到的靈魂所說的地方就是它們為了來找我們貓頭鷹前來的地方。{nl}現在這裡則到處充滿了幽靈范托群安裝的陷阱。{nl}幽靈范托群陷阱對誰都是種威脅。
QUEST_UNUSED_20150317_000064	靈魂迷路的話會去找其他靈魂。{nl}靈魂就是這個時候會掉入發亮的陷阱。
QUEST_UNUSED_20150317_000065	好多陷阱啊…
QUEST_UNUSED_20150317_000066	應該就在持有鑰匙的幽靈范托附近啊… {nl}真奇怪！
QUEST_UNUSED_20150317_000067	必須清除附近的幽靈范托群牠們才會出現。{nl}不出現的話就硬拖出來。
QUEST_UNUSED_20150317_000068	那些怪物是從哪冒出來的？
QUEST_UNUSED_20150317_000069	這樣還不出來的話..{nl}就是在
QUEST_UNUSED_20150317_000070	持有鑰匙的幽靈范托竟然不出來…{nl}應該就在我告訴你的那個地方。
QUEST_UNUSED_20150317_000071	等您到達的時候他會顯現原本面貌的。
QUEST_UNUSED_20150317_000072	這個…是關口的鑰匙。
QUEST_UNUSED_20150317_000073	用鑰匙打開關口的門吧！{nl}指引靈魂的領路人靈魂就在關口的對面。{nl}那個靈魂會幫助你的。
QUEST_UNUSED_20150317_000074	靈魂中偶爾會有人不想接受指引，而留下來幫助別人。就是不同類的靈魂。
QUEST_UNUSED_20150317_000075	領路人靈魂
QUEST_UNUSED_20150317_000076	你好！{nl}啊…原來是活人啊！
QUEST_UNUSED_20150317_000077	我也錯過了接受指引的時間了。但是我可沒有因此而墮落。{nl}在你來之前，沒有我必須指引的靈魂，我正想放棄呢。{nl}現在請幫我打開關口吧！{nl}還有請告知對面的貓頭鷹雕像這裡非常安全！
QUEST_UNUSED_20150317_000078	我嗎？要說我的事的話可說不完啊…
QUEST_UNUSED_20150317_000079	要消滅魔族的話，我以為那些部下都消失了呢… {nl}結果不是啊！謝謝你幫我開門。
QUEST_UNUSED_20150317_000080	請聽從領路人靈魂的建議。{nl}迷失的靈魂需要你的幫助…
QUEST_UNUSED_20150317_000081	這樣我很困擾。那力量若是屬於魔族的話會怎麼樣呢？
QUEST_UNUSED_20150317_000082	啊，原來你在說那個靈魂啊！{nl}它在丘陵高處四處徘徊找不到路。
QUEST_UNUSED_20150317_000083	如果您要確定要出發的話我會替你指引路的。{nl}但是在路上有很多黑暗史萊姆。{nl}對您來說是一大威脅啊。
QUEST_UNUSED_20150317_000084	我有把握那絕對不是魔族。{nl}但是我有點搞混。
QUEST_UNUSED_20150317_000085	不知名的靈魂
QUEST_UNUSED_20150317_000086	我們貓頭鷹們正在等您呢！{nl}歡迎。
QUEST_UNUSED_20150317_000087	暗黑吉嘎利們在那裏徘徊著{nl}雕刻家看到這森林一定會很心痛的…
QUEST_UNUSED_20150317_000088	光是看到散佈在那裏的骨灰盆就心痛。
QUEST_UNUSED_20150317_000089	赤紅普朗基正威脅我們。{nl}看看牠們在那裏徘徊的樣子。
QUEST_UNUSED_20150317_000090	暗黑南瓜精在那裏的話…沒辦法穿過那裏。{nl}丘陵上方都是暗黑南瓜精。
QUEST_UNUSED_20150317_000091	我想到可以保護我的方法了。{nl}雖然渺茫但我還是能感覺得到漁人怪吞噬的靈魂們。{nl}如果你幫我找回被漁人怪吞噬的神聖力的話…
QUEST_UNUSED_20150317_000092	貓頭鷹雕像的等待
QUEST_UNUSED_20150317_000093	安靜的森林(1)
QUEST_UNUSED_20150317_000094	提議要消滅暗黑吉嘎利。
QUEST_UNUSED_20150317_000095	安靜的森林(2)
QUEST_UNUSED_20150317_000096	Notice/將靈魂骨灰盆轉交給貓頭鷹雕像。
QUEST_UNUSED_20150317_000097	安靜的森林(3)
QUEST_UNUSED_20150317_000098	提議要確認關口。
QUEST_UNUSED_20150317_000099	安靜的森林(4)
QUEST_UNUSED_20150317_000100	提議要尋找靈魂。
QUEST_UNUSED_20150317_000101	在毒裡的靈魂(1)
QUEST_UNUSED_20150317_000102	提議要消滅赤紅普朗基。
QUEST_UNUSED_20150317_000103	在毒裡的靈魂(2)
QUEST_UNUSED_20150317_000104	提議要消滅暗黑南瓜精。
QUEST_UNUSED_20150317_000105	在毒裡的靈魂(3)
QUEST_UNUSED_20150317_000106	提議要確認貓頭鷹雕像。
QUEST_UNUSED_20150317_000107	在毒裡的靈魂(4)
QUEST_UNUSED_20150317_000108	確認中/MAKING/2.5/TRACK_BEFORE/None
QUEST_UNUSED_20150317_000109	貓頭鷹雕像的救援請求
QUEST_UNUSED_20150317_000110	提議要消滅死亡魔特斯。
QUEST_UNUSED_20150317_000111	森林裡滲入魔族(1)
QUEST_UNUSED_20150317_000112	提出要主動幫忙。
QUEST_UNUSED_20150317_000113	森林裡滲入魔族(2)
QUEST_UNUSED_20150317_000114	提議要尋找貓頭鷹雕像。
QUEST_UNUSED_20150317_000115	靈魂獵人(1)
QUEST_UNUSED_20150317_000116	提出確認貓頭鷹雕像。
QUEST_UNUSED_20150317_000117	靈魂獵人(2)
QUEST_UNUSED_20150317_000118	提出清除陷阱的建議。
QUEST_UNUSED_20150317_000119	靈魂獵人(3)
QUEST_UNUSED_20150317_000120	提議要消滅幽靈范托群。
QUEST_UNUSED_20150317_000121	靈魂獵人(4)
QUEST_UNUSED_20150317_000122	提議要消滅幽靈范托的建議。
QUEST_UNUSED_20150317_000123	打開關口(1)
QUEST_UNUSED_20150317_000124	打開關口(2)
QUEST_UNUSED_20150317_000125	告訴貓頭鷹雕像靈魂的故事。
QUEST_UNUSED_20150317_000126	迷失的靈魂(1)
QUEST_UNUSED_20150317_000127	迷失的靈魂(2)
QUEST_UNUSED_20150317_000128	提出要消滅黑暗史萊姆的建議。
QUEST_UNUSED_20150317_000129	迷失的靈魂(3)
QUEST_UNUSED_20150317_000130	比特雷巨蜂的襲擊
QUEST_UNUSED_20150317_000131	狼人的襲擊
QUEST_UNUSED_20150317_000132	Notice/!/請消滅狼人！
QUEST_UNUSED_20150317_000133	占領魔法師之塔的魔君主
QUEST_UNUSED_20150317_000134	報答財務的恩惠[轉職寬恕者](4)
QUEST_UNUSED_20150317_000135	密室的秘室
QUEST_UNUSED_20150317_000136	我會接受打賭。
QUEST_UNUSED_20150317_000137	接受試驗。
QUEST_UNUSED_20150317_000138	好奇心承認
QUEST_UNUSED_20150317_000139	我會幫忙。
QUEST_UNUSED_20150317_000140	與虛弱的貓頭鷹雕像對話
QUEST_UNUSED_20150317_000141	進入布袋頭嶺
QUEST_UNUSED_20150317_000142	移動至布袋頭嶺
QUEST_UNUSED_20150317_000143	消滅暗黑吉嘎利
QUEST_UNUSED_20150317_000144	消滅暗黑吉嘎利
QUEST_UNUSED_20150317_000145	回收骨灰盆
QUEST_UNUSED_20150317_000146	收集散佈在布袋頭嶺入口的骨灰盆。
QUEST_UNUSED_20150317_000147	確認靈魂的關口
QUEST_UNUSED_20150317_000148	確認後進入靈魂的關口
QUEST_UNUSED_20150317_000149	與迷路的靈魂對話
QUEST_UNUSED_20150317_000150	沿著往北的路往上走與迷路的靈魂對話
QUEST_UNUSED_20150317_000151	與迷路的靈魂對話
QUEST_UNUSED_20150317_000152	消滅赤紅普朗基
QUEST_UNUSED_20150317_000153	消滅赤紅普朗基
QUEST_UNUSED_20150317_000154	與依依不捨的靈魂對話
QUEST_UNUSED_20150317_000155	與依依不捨的靈魂對話
QUEST_UNUSED_20150317_000156	消滅暗黑南瓜精
QUEST_UNUSED_20150317_000157	消滅暗黑南瓜精
QUEST_UNUSED_20150317_000158	消滅暗黑南瓜精
QUEST_UNUSED_20150317_000159	確認貓頭鷹雕像
QUEST_UNUSED_20150317_000160	確認貓頭鷹雕像
QUEST_UNUSED_20150317_000161	消滅蜂湧而上的怪物
QUEST_UNUSED_20150317_000162	消滅蜂湧而上的怪物
QUEST_UNUSED_20150317_000163	與神聖的貓頭鷹雕像對話
QUEST_UNUSED_20150317_000164	與神聖的貓頭鷹雕像對話
QUEST_UNUSED_20150317_000165	消滅死亡魔特斯 
QUEST_UNUSED_20150317_000166	消滅死亡魔特斯 
QUEST_UNUSED_20150317_000167	漁人怪的神聖力碎片次數
QUEST_UNUSED_20150317_000168	找回漁人怪神聖力碎片
QUEST_UNUSED_20150317_000169	消滅赤紅漁人怪
QUEST_UNUSED_20150317_000170	與憂鬱的貓頭鷹雕像對話
QUEST_UNUSED_20150317_000171	與憂鬱的貓頭鷹雕像對話
QUEST_UNUSED_20150317_000172	確認空空的貓頭鷹雕像
QUEST_UNUSED_20150317_000173	確認空空的貓頭鷹雕像
QUEST_UNUSED_20150317_000174	清除靈魂的陷阱
QUEST_UNUSED_20150317_000175	找尋並清除靈魂的陷阱
QUEST_UNUSED_20150317_000176	消滅地獄亡靈的部下
QUEST_UNUSED_20150317_000177	消滅地獄亡靈的部下
QUEST_UNUSED_20150317_000178	消滅靈魂獵人的部下
QUEST_UNUSED_20150317_000179	消滅鑰匙管理幽靈范托
QUEST_UNUSED_20150317_000180	消滅鑰匙管理幽靈范托並獲得鑰匙
QUEST_UNUSED_20150317_000181	鑰匙管理
QUEST_UNUSED_20150317_000182	幽靈范托的部下
QUEST_UNUSED_20150317_000183	與領路人靈魂對話
QUEST_UNUSED_20150317_000184	與領路人靈魂對話
QUEST_UNUSED_20150317_000185	消滅擋路的怪物
QUEST_UNUSED_20150317_000186	消滅擋路的怪物
QUEST_UNUSED_20150317_000187	消滅地獄亡靈的殘黨
QUEST_UNUSED_20150317_000188	消滅暗黑史萊姆
QUEST_UNUSED_20150317_000189	消滅暗黑史萊姆
QUEST_UNUSED_20150317_000190	確認可疑的場所
QUEST_UNUSED_20150317_000191	確認可疑的場所
QUEST_UNUSED_20150317_000192	限制時間內地區防禦
QUEST_UNUSED_20150317_000193	於限制時間內存活於撲上前來的怪物攻擊下。
QUEST_UNUSED_20150317_000194	與不知名的靈魂對話
QUEST_UNUSED_20150317_000195	與不知名的靈魂對話
QUEST_UNUSED_20150317_000196	消滅擋路的怪物
QUEST_UNUSED_20150317_000197	請消滅比特雷巨蜂。
QUEST_UNUSED_20150317_000198	消滅比特雷巨蜂
QUEST_UNUSED_20150317_000199	狼人出現了。
QUEST_UNUSED_20150317_000200	消滅突然出現的狼人
QUEST_UNUSED_20150317_000201	消滅狼人
QUEST_UNUSED_20150317_000202	消滅哈明
QUEST_UNUSED_20150317_000203	尋找占領魔法師之塔的魔君主
QUEST_UNUSED_20150317_000204	尋找占領魔法師之塔的魔君主赫嘉塞露女妖。
QUEST_UNUSED_20150317_000205	去見佩迪米安的道具商人
QUEST_UNUSED_20150317_000206	和突然出現的劍士大師對話
QUEST_UNUSED_20150317_000207	劍士大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000208	發現隱藏任務
QUEST_UNUSED_20150317_000209	已發現隱藏任務。請在卡汀的密室狩獵報喪女妖。
QUEST_UNUSED_20150317_000210	順利完成了劍士大師的測試了。請去拜訪柯拉佩達的劍士大師。
QUEST_UNUSED_20150317_000211	消滅報喪女妖
QUEST_UNUSED_20150317_000212	和突然出現的法師大師對話
QUEST_UNUSED_20150317_000213	法師大師不知為何突然出現在您的面前。請與他對話。{nl}
QUEST_UNUSED_20150317_000214	拜訪法師大師
QUEST_UNUSED_20150317_000215	順利完成了法師大師的測試了。請去拜訪柯拉佩達的法師大師。
QUEST_UNUSED_20150317_000216	和突然出現的弓箭手大師對話
QUEST_UNUSED_20150317_000217	弓箭手大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000218	出現隱藏任務了。請在卡汀的密室狩獵報喪女妖。
QUEST_UNUSED_20150317_000219	順利完成了弓箭手大師的測試了。請去拜訪柯拉佩達的弓箭手大師。
QUEST_UNUSED_20150317_000220	和突然出現的牧師大師對話
QUEST_UNUSED_20150317_000221	牧師大師不知為何突然出現在您的面前。請與他對話。
QUEST_UNUSED_20150317_000222	順利完成了牧師大師的測試了。請去拜訪柯拉佩達的牧師大師。
QUEST_UNUSED_20150317_000223	守門者貓頭鷹正在打聽關於你而且很高興能有你的消息。請和守門者貓頭鷹對話。
QUEST_UNUSED_20150317_000224	在大教堂中尋找大理石雕像
QUEST_UNUSED_20150317_000225	根據守門者貓頭鷹的說法，貓頭鷹雕像很想報答雕刻家泰斯拉的恩惠。請救出被困在大教堂怪物手中的大理石雕像。
QUEST_UNUSED_20150317_000226	將大理石雕像轉交給雕刻家泰斯拉
QUEST_UNUSED_20150317_000227	已經找到大理石雕像了。請將 大理石雕像帶給瑪凌波石窟的雕刻家泰斯拉。
QUEST_UNUSED_20150323_000228	進入庫萊嶺
QUEST_UNUSED_20150323_000229	移動至萊嶺
QUEST_UNUSED_20150323_000230	收集散佈在庫萊嶺入口的骨灰盆。
QUEST_UNUSED_20150323_000231	已經找到大理石雕像了。請將 大理石雕像帶給瑪凌波石窟的雕刻家泰斯拉。
QUEST_UNUSED_20150714_000232	也許會有危險所以麻煩你幫我消滅周圍的怪物。{nl}我看過洛圖瑪第1遺址的怪物變得非常殘暴。
QUEST_UNUSED_20150714_000233	總之，很好。{nl}我需要徘徊在無名勇士的墳墓的亡靈持有的靈魂精髓 。{nl}不管用何種手段都沒關係，請幫我取得靈魂精髓吧！
QUEST_UNUSED_20150714_000234	不過我想要的只不過是純淨的靈魂。{nl}我希望您將帶來的兩個靈魂石放入禮盒裡並進行淨化。
QUEST_UNUSED_20150714_000235	剛剛您取得的金屬板… 好像還有殘餘下個部分的樣子。{nl}我找到的金屬板好像已經是完整的，真是大事不妙！{nl}
QUEST_UNUSED_20150714_000236	啊好像還漏掉了一個地方沒找，波薩斯街道。{nl}要不要去看看呢？
QUEST_UNUSED_20150714_000237	還順利嗎？{nl}我實在想得不夠遠。
QUEST_UNUSED_20150714_000238	這些是研究文件。只要轉告寒冰法師大師這是我替奇堤斯交的研究資料就可以了。
QUEST_UNUSED_20150714_000239	駕馭那隻群樹林哥布林的巨大傢伙在那裏。
QUEST_UNUSED_20150714_000240	有可能在拉烏基美濕地跟樹林巨獸哥布林碰上喔！{nl}如果真的碰上了，請務必消滅牠們。
QUEST_UNUSED_20150714_000241	實力如其龐大身軀的強大傢伙。請務必小心。
QUEST_UNUSED_20150714_000242	若要跟這些傢伙硬碰硬的話，我勸你多找一些人吧。
QUEST_UNUSED_20150714_000243	我以為你會打倒那傢伙呢…{nl}啟示者比我想的還要強大呢！令人讚嘆！{nl}如果跟啟示者一起並肩作戰的話收復首都應該不是甚麼難事吧！
QUEST_UNUSED_20150714_000244	正在配置引誘物
QUEST_UNUSED_20150714_000245	點火中
QUEST_UNUSED_20150714_000246	Notice/已將靈魂的骨灰盆交給貓頭鷹雕像
QUEST_UNUSED_20150714_000247	安裝鑰匙中
QUEST_UNUSED_20150714_000248	放餌中
QUEST_UNUSED_20150714_000249	除草劑始使用中
QUEST_UNUSED_20150714_000250	Notice/請破壞補給品箱子並追蹤逃亡的布貝族！#10
QUEST_UNUSED_20150714_000251	Notice/請追蹤逃亡的布貝族！#8
QUEST_UNUSED_20150714_000252	Notice/請移動至下一地區。#5
QUEST_UNUSED_20150714_000253	Notice/!/請消滅擋路的雷普斯！#8
QUEST_UNUSED_20150714_000254	Notice/已經消滅擋路的雷普斯！#8
QUEST_UNUSED_20150714_000255	燃燒中
QUEST_UNUSED_20150714_000256	看不見的話就無法讀。
QUEST_UNUSED_20150714_000257	未爆彈處理(1)
QUEST_UNUSED_20150714_000258	詢問如何處理。
QUEST_UNUSED_20150714_000259	請你自行處理。
QUEST_UNUSED_20150714_000260	未爆彈處理(2)
QUEST_UNUSED_20150714_000261	我會處理未爆彈。
QUEST_UNUSED_20150714_000262	直到最後一隻
QUEST_UNUSED_20150714_000263	我會努力看看。
QUEST_UNUSED_20150714_000264	聽說那傢伙難搞所以我會拒絕。
QUEST_UNUSED_20150714_000265	未爆彈處理
QUEST_UNUSED_20150714_000266	來回巡視前哨區域時發現了未爆彈。請向工兵大師詢問未爆彈的處理方法。
QUEST_UNUSED_20150714_000267	工兵大師要說明未爆彈的處理方法。請和工兵大師對話。
QUEST_UNUSED_20150714_000268	解除未爆彈
QUEST_UNUSED_20150714_000269	按照工兵大師所說明的利用解除子彈工具來進行未爆彈回收。
QUEST_UNUSED_20150714_000270	請將回收的未爆彈轉交給工兵大師。
QUEST_UNUSED_20150714_000271	傑普利好像還有事情放在心上。請和他對話。
QUEST_UNUSED_20150714_000272	消滅樹林巨獸哥布林
QUEST_UNUSED_20150714_000273	傑普利請求消滅統帥樹林哥布林的樹林巨獸哥布林。
QUEST_UNUSED_20150714_000274	成功消滅樹林巨獸哥布林。請轉告傑普利這件事。
QUEST_UNUSED_20150717_000275	奎波爾梅伊雷
QUEST_UNUSED_20150717_000276	雪德利佳伊拉
QUEST_UNUSED_20150717_000277	避開石化霜
QUEST_UNUSED_20150717_000278	裝在箱子裡的東西是…？
QUEST_UNUSED_20150717_000279	怪物懷裡的部隊印章
QUEST_UNUSED_20150717_000280	我會收集看看。
QUEST_UNUSED_20150717_000281	不太有興趣。
QUEST_UNUSED_20150717_000282	觀察石化探測器
QUEST_UNUSED_20150717_000283	請觀察沿岸要塞入口的石化探測器。
QUEST_UNUSED_20150717_000284	避開石化霜
QUEST_UNUSED_20150717_000285	觀察探測器的同時突然後面似乎有甚麼正在靠近！大概是石化霜的樣子！請避開石化霜逃到安全的地方！
QUEST_UNUSED_20150717_000286	打開寶箱
QUEST_UNUSED_20150717_000287	位於沿岸要塞一角的寶箱很可疑。請前往確認。
QUEST_UNUSED_20150717_000288	避開石化霜消滅怪物
QUEST_UNUSED_20150717_000289	一打開寶箱，就出現微弱的石化霜向怪物們撲上去！請避開石化霜並消滅怪物們。
QUEST_UNUSED_20150717_000290	請和葳荷米娜凱利奧特對話
QUEST_UNUSED_20150717_000291	取得露克立斯的部隊印章、羊皮紙文件
QUEST_UNUSED_20150717_000292	請在大地要塞尋找利於情報的物品。
QUEST_UNUSED_20150729_000293	差點就出是囉！您好我是奎波爾梅伊雷。{nl}我是來這裡指引未能安息的靈魂。{nl}不過不知道甚麼又會再出現像剛剛那種石化霜，請先不要輕舉妄動啊！
QUEST_UNUSED_20150729_000294	{nl}發現石化探測器，但好像有點故障的樣子…{nl}可以幫我檢查一下探測器嗎？
